date,DeltaTime,team_1,team_2,player1_team1,player2_team1,player3_team1,player4_team1,player5_team1,player1_team2,player2_team2,player3_team2,player4_team2,player5_team2,team_rank_1,team_rank_2,score_1,score_2,Map,score
2021-05-06,0,After,Wings Up,Marek,0i,WANGJ,MAD,Roninbaby,ChildKing,Martin,lan,gas,xiaoxizi,185,102,16,13,Mirage,0.5574376329113074
2021-05-06,0,Wings Up,After,ChildKing,Martin,lan,gas,xiaoxizi,Marek,0i,WANGJ,MAD,Roninbaby,102,185,13,16,Mirage,0.44256236708869257
2021-05-06,0,SKADE,Endpoint,SHiPZ,dennyslaw,Duplicate,mar,oxygeN,mezii,Thomas,Surreal,MiGHTYMAX,CRUC1AL,20,27,10,16,Train,0.3543436937742046
2021-05-06,0,Endpoint,SKADE,mezii,Thomas,Surreal,MiGHTYMAX,CRUC1AL,SHiPZ,dennyslaw,Duplicate,mar,oxygeN,27,20,16,10,Train,0.6456563062257954
2021-05-06,0,SKADE,Endpoint,SHiPZ,dennyslaw,Duplicate,mar,oxygeN,mezii,Thomas,Surreal,MiGHTYMAX,CRUC1AL,20,27,5,16,Inferno,0.0997504891196852
2021-05-06,0,Endpoint,SKADE,mezii,Thomas,Surreal,MiGHTYMAX,CRUC1AL,SHiPZ,dennyslaw,Duplicate,mar,oxygeN,27,20,16,5,Inferno,0.9002495108803148
2021-05-06,0,PACT,Sangal,MINISE,lunAtic,darko,Sobol,bnox,S3NSEY,l0gicman,ngiN,paz,MAJ3R,95,57,8,16,Dust2,0.2689414213699951
2021-05-06,0,Sangal,PACT,S3NSEY,l0gicman,ngiN,paz,MAJ3R,MINISE,lunAtic,darko,Sobol,bnox,57,95,16,8,Dust2,0.7310585786300049
2021-05-06,0,PACT,Sangal,MINISE,lunAtic,darko,Sobol,bnox,S3NSEY,l0gicman,ngiN,paz,MAJ3R,95,57,16,9,Nuke,0.6852009766653157
2021-05-06,0,Sangal,PACT,S3NSEY,l0gicman,ngiN,paz,MAJ3R,MINISE,lunAtic,darko,Sobol,bnox,57,95,9,16,Nuke,0.31479902333468435
2021-05-06,0,PACT,Sangal,MINISE,lunAtic,darko,Sobol,bnox,S3NSEY,l0gicman,ngiN,paz,MAJ3R,95,57,16,9,Vertigo,0.6852009766653157
2021-05-06,0,Sangal,PACT,S3NSEY,l0gicman,ngiN,paz,MAJ3R,MINISE,lunAtic,darko,Sobol,bnox,57,95,9,16,Vertigo,0.31479902333468435
2021-05-06,0,AGO,Tricked,rallen,reatz,Furlan,snatchie,F1KU,PR1mE,zypztw,Lucky,kwezz,kiR,33,45,14,16,Nuke,0.46434632916602836
2021-05-06,0,Tricked,AGO,PR1mE,zypztw,Lucky,kwezz,kiR,rallen,reatz,Furlan,snatchie,F1KU,45,33,16,14,Nuke,0.5356536708339716
2021-05-06,0,AGO,Tricked,rallen,reatz,Furlan,snatchie,F1KU,PR1mE,zypztw,Lucky,kwezz,kiR,33,45,16,6,Inferno,0.8411308951190849
2021-05-06,0,Tricked,AGO,PR1mE,zypztw,Lucky,kwezz,kiR,rallen,reatz,Furlan,snatchie,F1KU,45,33,6,16,Inferno,0.1588691048809151
2021-05-06,0,AGO,Tricked,rallen,reatz,Furlan,snatchie,F1KU,PR1mE,zypztw,Lucky,kwezz,kiR,33,45,11,16,Mirage,0.38828058859283854
2021-05-06,0,Tricked,AGO,PR1mE,zypztw,Lucky,kwezz,kiR,rallen,reatz,Furlan,snatchie,F1KU,45,33,16,11,Mirage,0.6117194114071615
2021-05-06,0,OFFSET,Lyngby Vikings,fox,RIZZZ,NOPEEJ,shellzi,snapy,hns,birdfromsky,FASHR,anarkez,raalz,71,52,9,16,Inferno,0.31479902333468435
2021-05-06,0,Lyngby Vikings,OFFSET,hns,birdfromsky,FASHR,anarkez,raalz,fox,RIZZZ,NOPEEJ,shellzi,snapy,52,71,16,9,Inferno,0.6852009766653157
2021-05-06,0,OFFSET,Lyngby Vikings,fox,RIZZZ,NOPEEJ,shellzi,snapy,hns,birdfromsky,FASHR,anarkez,raalz,71,52,9,16,Nuke,0.31479902333468435
2021-05-06,0,Lyngby Vikings,OFFSET,hns,birdfromsky,FASHR,anarkez,raalz,fox,RIZZZ,NOPEEJ,shellzi,snapy,52,71,16,9,Nuke,0.6852009766653157
2021-05-06,0,Copenhagen Flames,Anonymo,AcilioN,Nodios,nicoodoz,jabbi,MODDII,Kylar,KEi,mynio,innocent,Snax,46,43,16,11,Nuke,0.6117194114071615
2021-05-06,0,Anonymo,Copenhagen Flames,Kylar,KEi,mynio,innocent,Snax,AcilioN,Nodios,nicoodoz,jabbi,MODDII,43,46,11,16,Nuke,0.38828058859283854
2021-05-06,0,Copenhagen Flames,Anonymo,AcilioN,Nodios,nicoodoz,jabbi,MODDII,Kylar,KEi,mynio,innocent,Snax,46,43,12,16,Overpass,0.4174297935376853
2021-05-06,0,Anonymo,Copenhagen Flames,Kylar,KEi,mynio,innocent,Snax,AcilioN,Nodios,nicoodoz,jabbi,MODDII,43,46,16,12,Overpass,0.5825702064623147
2021-05-06,0,Copenhagen Flames,Anonymo,AcilioN,Nodios,nicoodoz,jabbi,MODDII,Kylar,KEi,mynio,innocent,Snax,46,43,16,2,Mirage,0.9990889488055994
2021-05-06,0,Anonymo,Copenhagen Flames,Kylar,KEi,mynio,innocent,Snax,AcilioN,Nodios,nicoodoz,jabbi,MODDII,43,46,2,16,Mirage,0.0009110511944006028
2021-05-06,0,Sangal,AGO,MAJ3R,paz,ngiN,l0gicman,S3NSEY,F1KU,snatchie,Furlan,reatz,rallen,57,33,11,16,Nuke,0.38828058859283854
2021-05-06,0,AGO,Sangal,F1KU,snatchie,Furlan,reatz,rallen,MAJ3R,paz,ngiN,l0gicman,S3NSEY,33,57,16,11,Nuke,0.6117194114071615
2021-05-06,0,Sangal,AGO,MAJ3R,paz,ngiN,l0gicman,S3NSEY,F1KU,snatchie,Furlan,reatz,rallen,57,33,8,16,Inferno,0.2689414213699951
2021-05-06,0,AGO,Sangal,F1KU,snatchie,Furlan,reatz,rallen,MAJ3R,paz,ngiN,l0gicman,S3NSEY,33,57,16,8,Inferno,0.7310585786300049
2021-05-06,0,Nordavind,777,TENZKI,HS,mertz,mirbit,supra,Ruyter,mikki,H4RR3,fletch,akez,39,154,16,14,Overpass,0.5356536708339716
2021-05-06,0,777,Nordavind,Ruyter,mikki,H4RR3,fletch,akez,TENZKI,HS,mertz,mirbit,supra,154,39,14,16,Overpass,0.46434632916602836
2021-05-06,0,Nordavind,777,TENZKI,HS,mertz,mirbit,supra,Ruyter,mikki,H4RR3,fletch,akez,39,154,18,22,Vertigo,0.44467194473763094
2021-05-06,0,777,Nordavind,Ruyter,mikki,H4RR3,fletch,akez,TENZKI,HS,mertz,mirbit,supra,154,39,22,18,Vertigo,0.5553280552623691
2021-05-06,0,Nordavind,777,TENZKI,HS,mertz,mirbit,supra,Ruyter,mikki,H4RR3,fletch,akez,39,154,13,16,Mirage,0.44256236708869257
2021-05-06,0,777,Nordavind,Ruyter,mikki,H4RR3,fletch,akez,TENZKI,HS,mertz,mirbit,supra,154,39,16,13,Mirage,0.5574376329113074
2021-05-07,1,Endpoint,NAVI Junior,CRUC1AL,MiGHTYMAX,Surreal,Thomas,mezii,Synyx,pogor3lov,m0NESY,fear,Aunkere,27,64,16,5,Overpass,0.9002495108803148
2021-05-07,1,NAVI Junior,Endpoint,Synyx,pogor3lov,m0NESY,fear,Aunkere,CRUC1AL,MiGHTYMAX,Surreal,Thomas,mezii,64,27,5,16,Overpass,0.0997504891196852
2021-05-07,1,Endpoint,NAVI Junior,CRUC1AL,MiGHTYMAX,Surreal,Thomas,mezii,Synyx,pogor3lov,m0NESY,fear,Aunkere,27,64,16,14,Mirage,0.5356536708339716
2021-05-07,1,NAVI Junior,Endpoint,Synyx,pogor3lov,m0NESY,fear,Aunkere,CRUC1AL,MiGHTYMAX,Surreal,Thomas,mezii,64,27,14,16,Mirage,0.46434632916602836
2021-05-07,1,forZe,Sprout,almazer,FL1T,Jerry,zorte,KENSI,slaxz-,faveN,kressy,denis,Spiidi,25,30,16,7,Nuke,0.783420904231824
2021-05-07,1,Sprout,forZe,slaxz-,faveN,kressy,denis,Spiidi,almazer,FL1T,Jerry,zorte,KENSI,30,25,7,16,Nuke,0.21657909576817602
2021-05-07,1,forZe,Sprout,almazer,FL1T,Jerry,zorte,KENSI,slaxz-,faveN,kressy,denis,Spiidi,25,30,16,13,Mirage,0.5574376329113074
